Response ID,Time Started,Date Submitted,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, was $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",,I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,What have you learned about teamwork from BizWorld?,What have you learned about leadership from BizWorld?,What advice would you give to a new student about to begin BizWorld?,What have you learned about managing money from BizWorld?,Score
2265,6/16/2014 10:02,12/22/2014 10:28,United States,Cranbury,NJ,8512,Planisboro,New Jersey,3,,Female,Decline to Respond,It sold all it's products,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Taking out a loan from the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Help increase sales of your product.,Sell the product to your customers.,"The cost of the supplies to make the product, including operating costs for the business.",,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,That you should always work together.,That your should try your best to lead the others.,That you should have fun. You are going to get to make so many things. And you can have a job like whatever you want to be. There's lots of different jobs you can pick from. Whatever you feel like want to be try to get that job. Trust me you will not have a boring time.,I learned a lot more then I do now about money because we got to work with money a lot of times and each time I used it I learned more and more about money so now when I do something else with money posliblie with real money now I can now it at the top of my head maybe not that good but I least I know more about money I surprised myself with knowing so much about money and every time I used and was able to controll it I would count it so fast and I gave exact change back to the other students and I helped them give are company. Are money I also helped them count it and I think they learned something out of that.so I think my money skills are better then before.,9
2269,6/16/2014 10:02,1/9/2015 9:24,United States,Plainsboro,NJ,8536,Planisboro,New Jersey,3,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,5,4,5,5,4,4,5,4,4,5,5,4,4,5,5,I've learned that working together is very important .And your ideas are the ones that will not always be chosen. I learned a lot of vocabulary words like revenue and manufaching .,Leadership is one of the most inportant thongs in a business . If you don't have leadership your business will not be smooth your employee will fool around .,Biz world is beyond fun . You really get a sence of business.,You need to take care of your money and watch how you spend it or you could go broke.,100
2274,6/16/2014 10:02,9/26/2014 9:35,United States,Cranbury,NJ,8512,Plainsboro,New Jersey,3,,Female,Asian/Pacific Islander,It sold all it's products,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,5,5,3,5,5,4,4,5,3,5,5,4,3,5,5,4,I have learned that not everyone is how they seem they are.,I have learned that you always have to say what you want to say.,It is all about hard work and teamwork.,Your ledger helps you a lot.,72
2379,6/16/2014 11:38,11/10/2014 10:31,United States,Cranbury,NJ,8512,Plainsboro,New Jersey,3,,Female,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,4,4,4,5,5,5,3,4,5,5,4,4,5,5,5,to always be a group and work together!!!,to listen to other peoples idea and don't be to bossy!!!,teach the student that they didn't learn yet and get them a job!!!,keep your revenue high your expenses low so you can make a profit,90
2904,9/15/2014 13:03,9/15/2014 13:19,United States,Alexandria,VA,22302,alexandria,Virginia,6,,Female,Native American/Alaska Native,It earned the most revenue during sales,Just pay interest on the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Expenses x Revenue = Profit,Profit.,Help increase sales of your product.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,,4,1,3,4,2,2,1,1,4,1,3,2,2,4,4,2,tell other5 answer digus poleop and pather,i dont no,i dont no,i dont no,27
2905,10/9/2014 20:55,10/9/2014 20:59,United States,Mariposa,CA,95338,coARSGOLD,California,6,,Male,Hispanic,It earned the most revenue during sales,Repay the balance of the loan and interest.,$5 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Losing a part of the ownership of the company in exchange for money.,Rent - Interest = Profit (or Loss),Cash on hand.,Make sure your company has the best commercial.,Make the product quickly and with limited waste.,The amount of time it took to make the product.,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,idk,idk,idk,idk,36
2907,10/15/2014 12:31,10/15/2014 12:57,Portugal,Fátima,18,,,,,,,,It earned the most revenue during sales,Just repay balance of the loan.,$9 ,A promise to repay the loan plus interest.,All of the above.,Taking out a loan from the venture capitalist.,Expenses x Revenue = Profit,Revenue.,All of the above.,Promote the product to your customers.,All of the above.,,2,4,5,4,4,4,4,4,5,5,5,4,4,5,5,4,zz,zz,zz,zzz,45
2910,10/16/2014 12:02,10/16/2014 12:18,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Asian/Pacific Islander,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Cash on hand.,All of the above.,Make the product quickly and with limited waste.,All of the above.,,4,1,4,4,1,5,3,3,3,5,4,4,5,4,5,4,It is very important to get along with you teammates and doing things with other people is sometimes better than doing them alone and your ideas may not be the best.,The leader has to be confident and able to make decisions in dilemma and be able to make teammates get along.,Listen to your teammates' ideas and the bracelets are easy once you get the hang of it so don't give up and let your friends make all the bracelets.,That you can't just buy everything you want but think first if the things you want are necessary for the company or will they be wastes or not.,81
2911,10/16/2014 12:02,10/16/2014 12:14,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,A portion of company products and services.,You will know how much money you spent on expenses.,Losing a part of the ownership of the company in exchange for money.,Expenses + Profit = Revenue,Revenue.,All of the above.,Make the product quickly and with limited waste.,The quality of the product.,,5,5,4,4,4,3,5,4,4,3,4,4,4,3,2,4,I have leaned what it is like to be on a team and to help others in situations hard to solve.,i have learned how to lead others through difficult time's in order to be in the top 2 teams for a pizza party.,be focused and make bracelets fast.,i have learned to save money and not spend it on stupid things,63
2912,10/16/2014 12:02,10/16/2014 12:18,United States,Los Angeles,CA,90001,santa clarita,California,7,,Male,Decline to Respond,It earned the most revenue during sales,Repay the balance of the loan and interest.,$4 ,Shares of stock in the company and a vote in decision-making.,You will be able to calculate your company's profits.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Make sure your company has the best commercial.,Sell the product to your customers.,How popular the item/style might be.,,4,1,3,4,1,3,1,3,3,4,5,1,3,3,1,3,that its fun and able to feel that your in a real bissnis,it take time .,that try your best and its really fun!!!!!!,that it can get far ,18
2913,10/16/2014 12:02,10/16/2014 12:13,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Female,Decline to Respond,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,A portion of company products and services.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Profit.,All of the above.,Promote the product to your customers.,All of the above.,,4,4,5,5,4,5,4,5,4,5,4,4,5,4,3,5,Yes I did learn team work.,Yes I did learn leadership.,It's fun I wish I can keep on doing it.,To not spend all lot of money more money more profit.,63
2914,10/16/2014 12:02,10/16/2014 12:19,United States,Los Angeles,CA,90001,Santa Clarita,California,7,,Male,Other/Multi-Racial,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Capital.,Help increase sales of your product.,Decide how the product will look.,All of the above.,,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,That you have to be helpful to one another.Also you have to work well with each other. ,That it takes very hard work and its not as easy as it looks.,To stay on task the whole way through and to share ideas with others.,People will change if they have to little money or to much money.,72
