Response ID,Time Started,Date Submitted,Status,Country,City,Region,Postal,City Name,State,Grade,Other:Grade,Gender,Ethnicity,How can a company know it made a profit?,"If you take out a loan from the bank, you must:","Your company made 10 of the same bracelet. Your total expenses, including bracelet materials, were $80. To make a profit how much should each bracelet cost?",What does a venture capitalist receive in exchange for investing in a company?,Why is it important to keep careful records of all your finances?,"If a company sells shares of stock, the company is:",What is the profit equation?,Money a company earns from selling a product or service is called:,The most important goal of marketing is to:,"When developing a product, during the manufacturing stage the company needs to:","When deciding on a price for a product, what factor(s) should a company consider?",I make an effort to get along with my teammates.,I am confident speaking in front of others.,I think about the advantages and disadvantages of a choice before making a decision.,The things I learn in school will help me in the real world.,I am confident leading others.,I listen to other people's ideas while working in a group.,How I say something is just important as what I say.,I am able to motivate others.,I analyze the effects of my decisions.,I think that math is important.,I discuss my ideas with others.,I can come to a compromise with others when we disagree.,I develop different ways of solving a problem.,I take charge on work that needs to get done.,I think learning is fun.,I contribute and pitch in when working in a group.,Score,What have you learned about teamwork from school?,What have you learned about leadership from school?,What do you know about managing money?,Quiz Score
3967,9/2/2014 10:41,9/2/2014 10:58,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Female,Caucasian,It sold all its products,Just repay balance of the loan.,$8 ,Shares of stock in the company and a vote in decision-making.,You can prevent your company from losing money.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Capital.,All of the above.,Promote the product to your customers.,All of the above.,4,3,4,5,3,5,5,4,4,5,4,2,4,4,3,4,,"I have learned a lot from teamwork at school.First,its much easier cause you have someone to help you if you make a mistake.Plus it gets the job done a whole lot faster.Someone also could be having trouble and so you can help them.That is what I have learned about teamwork.","Leadership takes a good leader for one.They must follow the directions,and listen to other peoples opinion.",You must keep track of your money so you know how much you have.You also shouldn't spend all your money at once.Also don't buy things you don't need.,27
3968,9/2/2014 10:41,9/2/2014 10:57,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$8 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses + Profit = Revenue,Capital.,All of the above.,Promote the product to your customers.,All of the above.,4,3,4,3,2,4,3,2,3,1,1,4,3,3,2,4,,I have learned that teamwork is important because it teaches you to work with others.,Leadership is important because you can lead others if they don't know what to do.,Managing money is important because if you aren't careful with your money you could spend it all very easily and then you won't have money when you really need it.,54
3969,9/2/2014 10:41,9/2/2014 10:55,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Just pay interest on the loan.,$9 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Revenue.,Help increase sales of your product.,Promote the product to your customers.,All of the above.,4,2,3,4,3,4,3,2,3,1,3,3,3,3,1,4,,"To help others when they need help, and to pitch in and discuss any problems.",That you should not be a bossy leader and you should be nice and helping to everyone to be a leader.,Pretty much nothing.,45
3970,9/2/2014 10:41,9/2/2014 10:57,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Female,Caucasian,It sold all its products,Repay the balance of the loan and interest.,$8 ,A promise to repay the loan plus interest.,All of the above.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Profit.,All of the above.,Promote the product to your customers.,All of the above.,4,3,4,3,3,4,4,4,4,1,4,3,3,4,1,4,,That teamwork is important because it teaches you to compromise with others.Also I find it easier to work with others.,I have learned that you need to take charge if nobody else will. If you are good with leadership you get the work done easily.,Managing money is important because if you aren't careful you will spend all your money.Also you might get cheated with your money so you have to be careful.,36
3971,9/2/2014 10:41,9/2/2014 10:57,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Male,Caucasian,It sold all its products,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,All of the above.,Decide how the product will look.,"The cost of the supplies to make the product, including operating costs for the business.",4,2,4,4,3,4,3,4,4,5,3,4,3,3,3,4,,That you can get things done faster with more than one person.,nothing,You must watch if your money is going up or down.,72
3972,9/2/2014 10:42,9/2/2014 10:55,Complete,United States,Cookeville,TN,38506,Monterey,Tennessee,6,,Male,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Decide how the product will look.,All of the above.,5,3,5,5,5,5,5,4,5,5,4,5,4,5,5,5,,That if you work together you can discuss ideas to your team and you can work together to find the correct answer to the problem.,You have to care for the group not just command them to do stuff talk to them about their ideas of how to make the team better.,"You have to care about what to buy because money is not always there for you,you have to work to get it,and you never should waste it on something you will never use or touch.",81
3973,9/3/2014 11:20,9/3/2014 11:30,Complete,United States,Little Rock,AR,72205,Little ROck,Arkansas,6,,Female,Caucasian,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Shares of stock in the company and a vote in decision-making.,All of the above.,Losing a part of the ownership of the company in exchange for money.,Revenue - Expenses = Profit (or Loss),Revenue.,Help increase sales of your product.,Make the product quickly and with limited waste.,All of the above.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,It is important for everyone to have a role and to contribute.,Leaders must represent their teammates. Leaders are really strong followers.,Don't spend more money than you have.,90
3975,9/3/2014 14:35,9/3/2014 14:52,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Just repay balance of the loan.,$8 ,A portion of company products and services.,All of the above.,Making a promise to pay back the venture capitalist.,Expenses x Revenue = Profit,Cash on hand.,Help increase sales of your product.,Decide how the product will look.,The quality of the product.,4,3,5,5,3,4,4,3,3,4,4,3,3,3,1,4,,its very inportant to work with teamates,it is important,important,18
3976,9/3/2014 14:35,9/3/2014 14:52,Complete,United States,Salinas,CA,93906,salinas,California,6,,Male,Hispanic,It earned more money in revenue than it spent on expenses,Repay the balance of the loan and interest.,$9 ,Decision-making power for product design.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Revenue - Expenses = Profit (or Loss),Cash on hand.,Demonstrate why your company and its products are special.,Make the product quickly and with limited waste.,The quality of the product.,4,4,3,2,4,4,4,4,4,4,4,4,2,4,1,4,,it is very important ,it is very important in my leaming ,that u can by enithing u whant ,45
3978,9/3/2014 14:35,9/3/2014 14:52,Complete,United States,Salinas,CA,93906,Salinas,California,6,,Female,Hispanic,It sold all its products,Just repay balance of the loan.,$8 ,A portion of company products and services.,You will know how much money you spent on expenses.,Receiving money with no other requirements.,Rent - Interest = Profit (or Loss),Profit.,Introduce your customers to your logo and slogan.,Decide how the product will look.,How popular the item/style might be.,3,3,4,5,3,4,4,3,2,5,4,4,3,3,1,4,,It is very important to work together.,It is very important to have leadership,It is very important,0
3980,9/3/2014 14:36,9/3/2014 14:54,Complete,United States,Salinas,CA,93906,salinas,California,6,,Female,Hispanic,It sold all its products,Just pay interest on the loan.,$8 ,Decision-making power for product design.,You will be able to calculate your company's profits.,Receiving money with no other requirements.,Expenses + Profit = Revenue,Cash on hand.,All of the above.,Make the product quickly and with limited waste.,"The cost of the supplies to make the product, including operating costs for the business.",4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,,I learn that we work together,I dont leadership people,I manag money by taking care of it ,18
